Price,Close,High,Low,Open,Volume
Ticker,TNXP,TNXP,TNXP,TNXP,TNXP
Date,,,,,
2021-08-02,460800.0,473600.0,454400.0,467200.0,9
2021-08-03,441600.0,467200.0,435200.0,460800.0,13
2021-08-04,422400.0,441600.0,416000.0,441600.0,16
2021-08-05,441600.0,448000.0,416000.0,422400.0,18
2021-08-06,441600.0,448000.0,428800.0,448000.0,14
2021-08-09,448000.0,460800.0,428800.0,435200.0,11
2021-08-10,499200.0,524800.0,454400.0,460800.0,34
2021-08-11,460800.0,486400.0,448000.0,486400.0,23
2021-08-12,448000.0,460800.0,435200.0,454400.0,12
2021-08-13,435200.0,448000.0,435200.0,448000.0,11
2021-08-16,435200.0,448000.0,428800.0,435200.0,14
2021-08-17,428800.0,441600.0,416000.0,435200.0,14
2021-08-18,428800.0,467200.0,416000.0,422400.0,25
2021-08-19,435200.0,454400.0,422400.0,435200.0,27
2021-08-20,422400.0,448000.0,422400.0,428800.0,17
2021-08-23,441600.0,441600.0,422400.0,428800.0,17
2021-08-24,454400.0,499200.0,441600.0,492800.0,56
2021-08-25,441600.0,454400.0,435200.0,448000.0,18
2021-08-26,448000.0,454400.0,441600.0,448000.0,20
2021-08-27,454400.0,454400.0,441600.0,448000.0,13
2021-08-30,441600.0,454400.0,441600.0,448000.0,12
2021-08-31,454400.0,454400.0,441600.0,441600.0,14
2021-09-01,467200.0,467200.0,448000.0,448000.0,15
2021-09-02,473600.0,480000.0,454400.0,460800.0,15
2021-09-03,454400.0,467200.0,448000.0,467200.0,15
2021-09-07,448000.0,454400.0,441600.0,448000.0,14
2021-09-08,428800.0,441600.0,416000.0,441600.0,18
2021-09-09,435200.0,435200.0,416000.0,428800.0,12
2021-09-10,422400.0,435200.0,416000.0,435200.0,13
2021-09-13,422400.0,441600.0,416000.0,435200.0,18
2021-09-14,390400.0,428800.0,390400.0,422400.0,27
2021-09-15,396800.0,403200.0,384000.0,396800.0,12
2021-09-16,403200.0,403200.0,384000.0,396800.0,17
2021-09-17,396800.0,403200.0,390400.0,396800.0,19
2021-09-20,377600.0,390400.0,371200.0,384000.0,21
2021-09-21,384000.0,396800.0,371200.0,377600.0,19
2021-09-22,384000.0,396800.0,377600.0,390400.0,23
2021-09-23,403200.0,403200.0,384000.0,390400.0,18
2021-09-24,390400.0,396800.0,384000.0,390400.0,14
2021-09-27,396800.0,409600.0,384000.0,384000.0,22
2021-09-28,377600.0,390400.0,371200.0,390400.0,27
2021-09-29,371200.0,390400.0,364800.0,390400.0,28
2021-09-30,384000.0,390400.0,364800.0,371200.0,29
2021-10-01,377600.0,390400.0,371200.0,384000.0,22
2021-10-04,364800.0,384000.0,364800.0,377600.0,16
2021-10-05,364800.0,377600.0,352000.0,371200.0,28
2021-10-06,339200.0,364800.0,339200.0,358400.0,22
2021-10-07,345600.0,352000.0,339200.0,345600.0,25
2021-10-08,339200.0,352000.0,332800.0,345600.0,26
2021-10-11,332800.0,345600.0,332800.0,339200.0,22
2021-10-12,358400.0,358400.0,332800.0,339200.0,19
2021-10-13,358400.0,358400.0,345600.0,358400.0,8
2021-10-14,352000.0,377600.0,345600.0,364800.0,39
2021-10-15,364800.0,364800.0,352000.0,358400.0,23
2021-10-18,390400.0,403200.0,371200.0,371200.0,41
2021-10-19,384000.0,390400.0,371200.0,384000.0,17
2021-10-20,371200.0,384000.0,364800.0,384000.0,21
